Author,Year,Title,Alloy(at. fraction),Preparation,anneal_temperature,anneal_time,Al,Nb,Ti,V,Zr,Cr,Mo,Hf,Ta,W,x(Al),x(Nb),x(Ti),x(V),x(Zr),x(Cr),x(Mo),x(Hf),x(Ta),x(W),Phase,Phase_content,Density_error,test_temperature,strain_rate,C(0)/T(1),Density,YS,YS_error,UTS,UTS_error,EL,EL_error,SYS,HV,HV_error
N. D. Stepanov,2015,"Effect of Al on structure and mechanical properties of AlxNbTiVZr (x?=?0, 0.5, 1, 1.5) high entropy alloys",NbTiVZrAl0.5,AM,1200,24,0.5,1,1,1,1,0,0,0,0,0,11.11,22.22,22.22,22.22,22.22,0,0,0,0,0,2,bcc_A2+Laves(C14),0,25,0.001,0,6.04,960,0,1100,0,4,0,158.94,500,20
N. D. Stepanov,2015,"Effect of Al on structure and mechanical properties of AlxNbTiVZr (x?=?0, 0.5, 1, 1.5) high entropy alloys",NbTiVZrAl,AM,1200,24,1,1,1,1,1,0,0,0,0,0,20,20,20,20,20,0,0,0,0,0,2,bcc_A2+Laves(C14)+Zr2Al,0,25,0.001,0,5.79,1080,0,1210,0,2.3,0,186.53,550,20
N. D. Stepanov,2015,"Effect of Al on structure and mechanical properties of AlxNbTiVZr (x?=?0, 0.5, 1, 1.5) high entropy alloys",NbTiVZrAl1.5,AM,1200,24,1.5,1,1,1,1,0,0,0,0,0,27.27,18.18,18.18,18.18,18.18,0,0,0,0,0,2,bcc_A2+Laves(C14)+Zr2Al,0,25,0.001,0,5.55,1310,0,1310,0,0,0,236.04,630,30
Chaojie Liang,2024,"Effect of Al on the microstructure, mechanical properties, and wear resistance of TiVZrNbAlx?alloys",Ti42V28Zr15Nb15,AM,0,0,0,15,42,28,15,0,0,0,0,0,0,15,42,28,15,0,0,0,0,0,1,bcc_A2,0,25,0.001,1,5.89,842,0,0,0,8,0,142.9336086,0,0
Chaojie Liang,2024,"Effect of Al on the microstructure, mechanical properties, and wear resistance of TiVZrNbAlx?alloys",Ti39.9V26.6Zr14.25Nb14.25Al5,AM,0,0,5,14.25,39.9,26.6,14.25,0,0,0,0,0,5,14.25,39.9,26.6,14.25,0,0,0,0,0,1,bcc_A2,0,25,0.001,1,5.74,865,0,0,0,6.5,0,150.7246205,0,0
Chaojie Liang,2024,"Effect of Al on the microstructure, mechanical properties, and wear resistance of TiVZrNbAlx?alloys",Ti37.8V25.2Zr13.5Nb13.5Al10,AM,0,0,10,13.5,37.8,25.2,13.5,0,0,0,0,0,10,13.5,37.8,25.2,13.5,0,0,0,0,0,1,bcc_A2,0,25,0.001,1,5.59,1050,0,0,0,2.1,0,187.9607866,0,0
N.Yu. Yurchenko,2018,Effect of Cr and Zr on phase stability of refractory Al-Cr-Nb-Ti-V-Zr high-entropy alloys,AlNbTiVZr,AM,1200,24,1,1,1,1,1,0,0,0,0,0,20,20,20,20,20,0,0,0,0,0,5,bcc_B2+Laves(C14)+Zr5Al3,0,25,0.0001,0,5.77,1500,0,1675,0,3.2,0,259.97,550,0
N.Yu. Yurchenko,2018,Effect of Cr and Zr on phase stability of refractory Al-Cr-Nb-Ti-V-Zr high-entropy alloys,AlCrNbTiV,AM,1200,24,1,1,1,1,0,1,0,0,0,0,20,20,20,20,0,20,0,0,0,0,5,bcc_B2+Laves(C14),0,25,0.0001,0,5.76,1550,0,1570,0,0.4,0,269.1,593,0
N.Yu. Yurchenko,2018,Effect of Cr and Zr on phase stability of refractory Al-Cr-Nb-Ti-V-Zr high-entropy alloys,AlNbTiVZr0.5,AM,1200,24,1,1,1,1,0.5,0,0,0,0,0,22.22,22.22,22.22,22.22,11.11,0,0,0,0,0,5,bcc_B2+Laves(C14)+Zr5Al3,0,25,0.0001,0,5.66,1485,0,0,0,50,0,262.37,489,0
N.Yu. Yurchenko,2018,Effect of Cr and Zr on phase stability of refractory Al-Cr-Nb-Ti-V-Zr high-entropy alloys,AlNbTiV,AM,1200,24,1,1,1,1,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,4,bcc_B2,0,25,0.0001,0,5.74,1000,0,1280,0,6,0,174.22,450,0
N.Yu. Yurchenko,2018,Effect of Cr and Zr on phase stability of refractory Al-Cr-Nb-Ti-V-Zr high-entropy alloys,AlCr0.5NbTiV,AM,1200,24,1,1,1,1,0,0.5,0,0,0,0,22.22,22.22,22.22,22.22,0,11.11,0,0,0,0,4,bcc_B2,0,25,0.0001,0,5.64,1300,0,1430,0,0.8,0,230.5,531,0
Doan Dinh Phuong,2023,Effect of Hf Concentration on the Microstructure and Room Temperature Mechanical Properties of Light-Weight TiVZrNbHfx?(x = 0-1.0) Refractory High Entropy Alloys,TiVZrNbHf,AM,0,0,0,1,1,1,1,0,0,1,0,0,0,20,20,20,20,0,0,20,0,0,1,bcc_A2,0,25,0.0001,0,8.06,1291.8,0,0,0,18.1,0,160.1878596,0,0
Doan Dinh Phuong,2023,Effect of Hf Concentration on the Microstructure and Room Temperature Mechanical Properties of Light-Weight TiVZrNbHfx?(x = 0-1.1) Refractory High Entropy Alloys,TiVZrNbHf0.75,AM,0,0,0,1,1,1,1,0,0,0.75,0,0,0,21.05,21.05,21.05,21.05,0,0,15.79,0,0,1,bcc_A2,0,25,0.0001,0,7.74,1228.4,0,0,0,23.2,0,158.7533805,0,0
Doan Dinh Phuong,2023,Effect of Hf Concentration on the Microstructure and Room Temperature Mechanical Properties of Light-Weight TiVZrNbHfx?(x = 0-1.2) Refractory High Entropy Alloys,TiVZrNbHf0.5,AM,0,0,0,1,1,1,1,0,0,0.5,0,0,0,22.22,22.22,22.22,22.22,0,0,11.11,0,0,1,bcc_A2,0,25,0.0001,0,7.37,1063,0,0,0,29.9,0,144.27341,0,0
